						
			Provider	Alias		
			Melita	EU 2		
			Telefonica EUROPE	EU 4		
			US Cellular	US 2		
						
						
						
PLMN	MCCMNC	Country	Region	Continent	Operator	IMSI Provider
ALBAM	27601	Albania	Europe	Europe	One Albania	EU 2
ALBVF	27602	Albania	Europe	Europe	Vodafone Albania	EU 2
ANDMA	21303	Andorra	Europe	Europe	Andorra Telecom	EU 2
ARGTP	72234	Argentina	South America	South America	Personal Argentina	EU 2
ARM 1.00	28301	Armenia	CIS	Asia	Beeline Armenia	EU 2
AUSOP	50502	Australia	APAC	Oceania	Optus Communications	EU 2
AUSVF	50503	Australia	APAC	Oceania	TPG Telecom Australia	EU 2
AUTCA	23205	Austria	Europe	Europe	3 Austria	EU 2
AUTPT	23201	Austria	Europe	Europe	A1 Austria	EU 2
AUTMM	23203	Austria	Europe	Europe	T-Mobile Austria	EU 2
BELKO	20620	Belgium	Europe	Europe	Base Belgium	EU 2
BELTB	20601	Belgium	Europe	Europe	Proximus Belgium	EU 2
BELMO	20610	Belgium	Europe	Europe	Orange Belgium	EU 2
BOLTE	73603	Bolivia	South America	South America	Tigo Bolivia	EU 2
BIHPT	21890	Bosnia&Herzegovina	Europe	Europe	BH Bosnia and Herzegovina	EU 2
BGR01	28401	Bulgaria	Europe	Europe	Mtel Bulgaria	EU 2
BGRCM	28405	Bulgaria	Europe	Europe	Yettel Bulgaria	EU 2
BGRVA	28403	Bulgaria	Europe	Europe	Vivacom Bulgaria	EU 2
CANBM	302610	Canada	North America	North America	Bell Canada	EU 2
CANRW	302720	Canada	North America	North America	Rogers Canada	EU 2
CANTS	302220	Canada	North America	North America	Telus Canada	EU 2
CHLMV	73001	Chile	South America	South America	Entel Chile	EU 2
CHLTM	73002	Chile	South America	South America	Movistar Chile	EU 2
CHNDX	46011	China	APAC	Asia	China Telecom	EU 2
CHNCT	46000	China	APAC	Asia	China Mobile	EU 2
COLCO	732111	Colombia	South America	South America	Tigo Colombia	EU 2
CODVC	63001	Congo Drc	Africa	Africa	Vodacom Congo, DR	EU 2
HRVT2	21902	Croatia	Europe	Europe	Telemach Croatia	EU 2
HRVCN	21901	Croatia	Europe	Europe	T-Mobile Croatia	EU 2
HRVVI	21910	Croatia	Europe	Europe	VIPnet Croatia	EU 2
CYPCT	28001	Cyprus	Europe	Europe	Cyta Cyprus	EU 2
CYPSC	28010	Cyprus	Europe	Europe	Epic Cyprus	EU 2
CYPPT	28020	Cyprus	Europe	Europe	PrimeTel Cyprus	EU 2
CZEET	23002	Czech Republic	Europe	Europe	O2 Czechia	EU 2
